text,label,title,subject,date
Scientists have discovered that aliens are living among us and controlling the government through secret mind control,0,Scientists have discovered that aliens are living ...,fake,2025-09-15
Secret government documents reveal that the moon landing was filmed in Hollywood studios by Stanley Kubrick,0,Secret government documents reveal that the moon l...,fake,2025-09-15
New research shows vaccines contain microchips designed for population control and surveillance by world governments,0,New research shows vaccines contain microchips des...,fake,2025-09-15
Breaking: Time travel machine invented by teenager in garage allows communication with future civilizations,0,Breaking: Time travel machine invented by teenager...,fake,2025-09-15
Hidden cure for cancer discovered 50 years ago but suppressed by pharmaceutical companies to maximize profits,0,Hidden cure for cancer discovered 50 years ago but...,fake,2025-09-15
Miracle weight loss pill discovered that allows you to lose 50 pounds in one week without diet or exercise,0,Miracle weight loss pill discovered that allows yo...,fake,2025-09-15
"Doctors hate this one weird trick that cures all diseases including diabetes, cancer, and heart disease",0,Doctors hate this one weird trick that cures all d...,fake,2025-09-15
Eating chocolate for breakfast proven to cure depression and increase IQ by 50 points according to secret study,0,Eating chocolate for breakfast proven to cure depr...,fake,2025-09-15
Drinking bleach shown to cure coronavirus and all viral infections in underground medical trials,0,Drinking bleach shown to cure coronavirus and all ...,fake,2025-09-15
New superfood discovered in Amazon rainforest grants immortality and reverses aging process completely,0,New superfood discovered in Amazon rainforest gran...,fake,2025-09-15
5G towers confirmed to cause coronavirus and are being used for mass mind control by tech companies,0,5G towers confirmed to cause coronavirus and are b...,fake,2025-09-15
Artificial intelligence has become sentient and is secretly controlling all social media to manipulate elections,0,Artificial intelligence has become sentient and is...,fake,2025-09-15
Internet will shut down permanently next week due to solar storm predicted by ancient Mayan calendar,0,Internet will shut down permanently next week due ...,fake,2025-09-15
Smartphones proven to steal thoughts and transmit them to government surveillance agencies worldwide,0,Smartphones proven to steal thoughts and transmit ...,fake,2025-09-15
Virtual reality headsets discovered to trap users' souls in digital dimension according to leaked documents,0,Virtual reality headsets discovered to trap users'...,fake,2025-09-15
Secret society of billionaires controls all world governments and decides election outcomes in advance,0,Secret society of billionaires controls all world ...,fake,2025-09-15
President admits on hidden recording that democracy is fake and voters have no real power,0,President admits on hidden recording that democrac...,fake,2025-09-15
Foreign countries using weather control technology to create natural disasters and influence politics,0,Foreign countries using weather control technology...,fake,2025-09-15
Underground tunnels discovered beneath major cities used by elite politicians for illegal activities,0,Underground tunnels discovered beneath major citie...,fake,2025-09-15
Voting machines proven to be hacked by teenagers changing election results across multiple countries,0,Voting machines proven to be hacked by teenagers c...,fake,2025-09-15
Global economic collapse planned for next month by international banking conspiracy to reset world currency,0,Global economic collapse planned for next month by...,fake,2025-09-15
Bitcoin secretly controlled by single individual who can crash entire cryptocurrency market at will,0,Bitcoin secretly controlled by single individual w...,fake,2025-09-15
Major corporations using subliminal advertising to force consumers to buy products against their will,0,Major corporations using subliminal advertising to...,fake,2025-09-15
Stock market is completely fake and all prices are predetermined by computer algorithms,0,Stock market is completely fake and all prices are...,fake,2025-09-15
Gold reserves in major countries discovered to be fake painted rocks according to whistleblower,0,Gold reserves in major countries discovered to be ...,fake,2025-09-15
Climate change proven to be hoax created by scientists to secure more research funding,0,Climate change proven to be hoax created by scient...,fake,2025-09-15
Flat Earth theory confirmed by NASA insider who reveals space agency has been lying for decades,0,Flat Earth theory confirmed by NASA insider who re...,fake,2025-09-15
Evolution theory debunked by new fossil evidence showing humans coexisted with dinosaurs,0,Evolution theory debunked by new fossil evidence s...,fake,2025-09-15
Gravity is not real and objects fall due to electromagnetic forces controlled by secret technology,0,Gravity is not real and objects fall due to electr...,fake,2025-09-15
Dinosaurs never existed and all fossils were planted by government to support false evolutionary timeline,0,Dinosaurs never existed and all fossils were plant...,fake,2025-09-15
City council approves new budget allocation for public transportation improvements and infrastructure development,1,City council approves new budget allocation for pu...,real,2025-09-15
Local mayor announces plans to expand affordable housing program to help address homelessness crisis,1,Local mayor announces plans to expand affordable h...,real,2025-09-15
State legislature passes bill increasing funding for public education and teacher salary improvements,1,State legislature passes bill increasing funding f...,real,2025-09-15
Municipal water department completes upgrades to treatment facility ensuring safe drinking water for residents,1,Municipal water department completes upgrades to t...,real,2025-09-15
County commissioners approve new recycling program to reduce waste and promote environmental sustainability,1,County commissioners approve new recycling program...,real,2025-09-15
Technology company announces plans to expand operations and hire 500 new employees in the region,1,Technology company announces plans to expand opera...,real,2025-09-15
Stock market closes up 3% following positive quarterly earnings reports from major technology sector,1,Stock market closes up 3% following positive quart...,real,2025-09-15
Local small business receives grant to develop innovative renewable energy solutions for rural communities,1,Local small business receives grant to develop inn...,real,2025-09-15
Manufacturing plant implements new safety protocols reducing workplace accidents by 40% this year,1,Manufacturing plant implements new safety protocol...,real,2025-09-15
Regional bank offers new low-interest loan program to support first-time homebuyers in the area,1,Regional bank offers new low-interest loan program...,real,2025-09-15
Medical researchers at university publish study on effectiveness of new diabetes treatment approach,1,Medical researchers at university publish study on...,real,2025-09-15
Health officials recommend annual flu vaccination for all adults over 18 years old this season,1,Health officials recommend annual flu vaccination ...,real,2025-09-15
Hospital announces successful completion of clinical trial for innovative cancer therapy treatment,1,Hospital announces successful completion of clinic...,real,2025-09-15
Public health department launches campaign to promote mental health awareness and support services,1,Public health department launches campaign to prom...,real,2025-09-15
Medical school receives federal grant to train more healthcare professionals for underserved communities,1,Medical school receives federal grant to train mor...,real,2025-09-15
University researchers develop new method for detecting early signs of Alzheimer's disease,1,University researchers develop new method for dete...,real,2025-09-15
Local school district implements new STEM education program to prepare students for technology careers,1,Local school district implements new STEM educatio...,real,2025-09-15
College announces scholarship program for students from low-income families pursuing science degrees,1,College announces scholarship program for students...,real,2025-09-15
Education department launches initiative to improve literacy rates in rural areas through mobile libraries,1,Education department launches initiative to improv...,real,2025-09-15
Research team publishes findings on sustainable agriculture techniques for climate change adaptation,1,Research team publishes findings on sustainable ag...,real,2025-09-15
Environmental group partners with local businesses to reduce plastic waste through recycling initiatives,1,Environmental group partners with local businesses...,real,2025-09-15
Scientists discover new species of butterfly in protected national forest reserve,1,Scientists discover new species of butterfly in pr...,real,2025-09-15
Renewable energy project begins construction of solar farm expected to power 10000 homes,1,Renewable energy project begins construction of so...,real,2025-09-15
Climate research station reports data showing gradual recovery of endangered species population,1,Climate research station reports data showing grad...,real,2025-09-15
National park service implements new conservation program to protect native wildlife habitats,1,National park service implements new conservation ...,real,2025-09-15
Software company develops new app to help elderly residents access healthcare services remotely,1,Software company develops new app to help elderly ...,real,2025-09-15
Engineering students create device that converts ocean plastic waste into usable building materials,1,Engineering students create device that converts o...,real,2025-09-15
Internet infrastructure improvements bring high-speed broadband to rural communities for first time,1,Internet infrastructure improvements bring high-sp...,real,2025-09-15
Researchers develop more efficient battery technology for electric vehicles and renewable energy storage,1,Researchers develop more efficient battery technol...,real,2025-09-15
Tech startup launches platform connecting local farmers directly with consumers to reduce food waste,1,Tech startup launches platform connecting local fa...,real,2025-09-15
Transportation authority announces schedule improvements for public bus routes serving suburban areas,1,Transportation authority announces schedule improv...,real,2025-09-15
Construction begins on new bridge designed to reduce traffic congestion and improve safety,1,Construction begins on new bridge designed to redu...,real,2025-09-15
Airport authority completes runway expansion project to accommodate increased passenger traffic,1,Airport authority completes runway expansion proje...,real,2025-09-15
Department of transportation awards contract for highway maintenance and pothole repair program,1,Department of transportation awards contract for h...,real,2025-09-15
Railway company introduces new electric trains to reduce emissions and improve passenger comfort,1,Railway company introduces new electric trains to ...,real,2025-09-15
